0.25,0.07,0.23,0.23
0.18,0.07,0.13,0.27
0.17,0.07,0.11,0.28
0.21,0.07,0.19,0.26
EMG Sensor 1,EMG Sensor 2,EMG Sensor 3,EMG Sensor 4
0.16,0.07,0.19,0.25
0.21,0.07,0.1,0.23
0.18,0.07,0.17,0.23
0.18,0.07,0.27,0.26
0.18,0.28,0.09,0.26
1.61,0.08,0.58,0.73
1.2,0.31,0.39,0.64
1.07,0.08,0.49,0.61
0.75,0.07,0.3,0.56
1.29,0.08,0.46,0.48
0.46,0.08,0.22,0.39
0.41,0.07,0.14,0.35
0.24,0.07,0.11,0.41
0.28,0.07,0.13,0.3
0.21,0.07,0.14,0.34
1.69,0.08,0.56,1.38
2.02,0.12,0.76,1.42
1.83,0.1,0.69,1.67
1.74,0.46,0.73,1.62
1.61,0.5,0.75,1.96
0.61,0.07,0.23,0.65
0.27,0.07,0.11,0.25
0.4,0.07,0.16,0.22
0.24,0.07,0.14,0.38
0.25,0.07,0.16,0.22
1.5,2.21,0.6,0.84
2.08,0.33,0.86,1.16
1.15,0.38,0.56,1.39
0.99,0.23,0.58,1.36
1.06,0.16,0.61,1.25
0.35,0.12,0.27,0.63
0.23,0.07,0.11,0.23
0.27,0.07,0.14,0.25
0.23,0.07,0.16,0.22
0.2,0.09,0.15,0.22
0.5,0.1,0.33,0.77
0.75,0.08,0.38,1.14
0.55,0.1,0.28,0.88
0.46,0.08,0.27,0.9
0.53,0.08,0.27,1.34
0.23,0.08,0.34,0.47
0.25,0.07,0.13,0.24
0.23,1.59,0.1,0.22
0.22,0.07,0.11,0.23
0.19,0.07,0.09,0.22
0.89,0.21,0.39,0.71
1.5,0.09,0.41,0.69
1.26,0.07,0.56,0.71
0.93,0.08,0.43,0.77
0.69,0.09,0.3,0.75
0.42,0.31,0.36,0.46
0.18,0.07,0.12,0.39
0.19,0.07,0.1,0.24
0.19,0.07,0.1,0.26
0.15,0.07,0.09,0.29
1.54,0.1,0.51,1.04
2.75,0.16,0.92,1.47
1.57,0.09,0.65,1.36
1.06,0.09,0.69,1.33
0.89,0.09,0.61,1.17
0.33,0.08,0.13,0.38
0.22,1.3,0.1,0.24
0.18,0.07,0.12,0.23
0.16,0.07,0.11,0.25
0.15,0.07,0.1,0.24
1.13,0.63,0.43,0.91
1.23,0.19,0.56,1.32
1.55,0.22,0.61,1.06
0.99,0.12,0.43,0.84
0.92,0.12,0.48,0.91
0.43,0.13,0.35,0.65
0.29,0.07,0.12,0.22
0.23,0.07,0.11,0.24
0.17,0.07,0.1,0.22
0.19,0.07,0.09,0.24
0.88,0.1,0.41,0.94
0.76,0.08,0.3,1.1
0.62,0.07,0.35,1.13
0.67,0.07,0.31,1
0.51,0.08,0.23,1.13
0.54,0.66,0.39,0.98
0.19,0.07,0.11,0.22
0.16,0.07,0.12,0.22
0.16,0.07,0.16,0.28
0.18,0.07,0.09,0.22
0.46,0.07,0.18,0.45
0.86,0.07,0.33,0.59
0.74,0.09,0.3,0.45
0.62,0.07,0.29,0.56
1.04,0.07,0.33,0.54
0.31,0.07,0.3,0.4
0.24,0.82,0.12,0.22
0.15,0.07,0.09,0.24
0.17,0.07,0.1,0.28
0.17,0.07,0.09,0.25
0.16,0.07,0.09,0.27
